Drinking Water Supply,Consider drinking water safe?
Pipe,False
Communal tap,True
Pipe,True
Pipe,True
Surface,True
Surface,False
Truck,True
Surface,True
Communal tap,True
Surface,False
Pipe,True
Communal tap,True
Surface,False
Communal tap,True
Borehole,False
Borehole,True
Unprotected well,True
Borehole,True
Pipe,True
Pipe,True
Pipe,True
Pipe,True
Communal tap,True
Surface,False
Truck,True
Surface,True
Surface,True
Truck,True
Surface,True
Surface,True
Surface,True
Surface,False
Surface,True
Surface,True
Surface,True
Communal tap,True
Surface,True
Protected well,True
Pipe,True
Pipe,True
Surface,True
Pipe,True
Pipe,True
Pipe,False
Truck,True
Truck,True
Pipe,True
Surface,False
Truck,True
Surface,False
Pipe,True
Pipe,True
Protected well,True
Surface,True
Truck,True
Surface,True
Truck,True
Surface,True
Surface,True
Surface,True
Surface,True
Surface,True
Unprotected well,True
Surface,True
Surface,True
Surface,True
Surface,True
Surface,True
Pipe,True
Pipe,True
Pipe,True
Communal tap,True
Pipe,True
Pipe,True
Pipe,True
Pipe,True
Communal tap,True
Pipe,True
Surface,True
Pipe,True
Pipe,True
Pipe,True
Surface,True
Pipe,True
Pipe,True
Pipe,True
Surface,True
Truck,True
Communal tap,True
Borehole,True
Communal tap,True
Communal tap,True
Communal tap,True
Pipe,True
Pipe,True
Pipe,True
Protected well,True
Pipe,True
Communal tap,True
Surface,False
Communal tap,True
Communal tap,True
Pipe,True
Pipe,True
Pipe,False
Pipe,True
Communal tap,True
Pipe,True
Pipe,True
Pipe,True
Pipe,True
Pipe,True
Pipe,True
Communal tap,True
Pipe,True
Pipe,True
